FIPS formula,COUNTY num
1001,1
4001,1
5001,1
6001,1
8001,1
9001,1
10001,1
11001,1
12001,1
13001,1
15001,1
16001,1
17001,1
18001,1
19001,1
20001,1
21001,1
22001,1
23001,1
24001,1
25001,1
26001,1
27001,1
28001,1
29001,1
30001,1
31001,1
32001,1
33001,1
34001,1
35001,1
36001,1
37001,1
38001,1
39001,1
40001,1
41001,1
42001,1
44001,1
45001,1
47001,1
48001,1
49001,1
50001,1
51001,1
53001,1
54001,1
55001,1
56001,1
72001,1
1003,3
4003,3
5003,3
6003,3
8003,3
9003,3
10003,3
12003,3
13003,3
15003,3
16003,3
17003,3
18003,3
19003,3
20003,3
21003,3
22003,3
23003,3
24003,3
25003,3
26003,3
27003,3
28003,3
29003,3
30003,3
31003,3
32003,3
33003,3
34003,3
35003,3
36003,3
37003,3
38003,3
39003,3
40003,3
41003,3
42003,3
44003,3
45003,3
46003,3
47003,3
48003,3
49003,3
50003,3
51003,3
53003,3
54003,3
55003,3
56003,3
72003,3
1005,5
4005,5
5005,5
6005,5
8005,5
9005,5
10005,5
12005,5
13005,5
15005,5
16005,5
17005,5
18005,5
19005,5
20005,5
21005,5
22005,5
23005,5
24005,5
25005,5
26005,5
27005,5
28005,5
29005,5
30005,5
31005,5
32005,5
33005,5
34005,5
35005,5
36005,5
37005,5
38005,5
39005,5
40005,5
41005,5
42005,5
44005,5
45005,5
46005,5
47005,5
48005,5
49005,5
50005,5
51005,5
53005,5
54005,5
55005,5
56005,5
72005,5
35006,6
1007,7
4007,7
5007,7
6007,7
8007,7
9007,7
12007,7
13007,7
15007,7
16007,7
17007,7
18007,7
19007,7
20007,7
21007,7
22007,7
23007,7
25007,7
26007,7
27007,7
28007,7
29007,7
30007,7
31007,7
32007,7
33007,7
34007,7
35007,7
36007,7
37007,7
38007,7
39007,7
40007,7
41007,7
42007,7
44007,7
45007,7
46007,7
47007,7
48007,7
49007,7
50007,7
51007,7
53007,7
54007,7
55007,7
56007,7
72007,7
1009,9
4009,9
5009,9
6009,9
8009,9
9009,9
12009,9
13009,9
15009,9
16009,9
17009,9
18009,9
19009,9
20009,9
21009,9
22009,9
23009,9
24009,9
25009,9
26009,9
27009,9
28009,9
29009,9
30009,9
31009,9
32009,9
33009,9
34009,9
35009,9
36009,9
37009,9
38009,9
39009,9
40009,9
41009,9
42009,9
44009,9
45009,9
46009,9
47009,9
48009,9
49009,9
50009,9
51009,9
53009,9
54009,9
55009,9
56009,9
72009,9
60010,10
78010,10
66010,10
1011,11
4011,11
5011,11
6011,11
8011,11
9011,11
12011,11
13011,11
16011,11
17011,11
18011,11
19011,11
20011,11
21011,11
22011,11
23011,11
24011,11
25011,11
26011,11
27011,11
28011,11
29011,11
30011,11
31011,11
32011,11
33011,11
34011,11
35011,11
36011,11
37011,11
38011,11
39011,11
40011,11
41011,11
42011,11
45011,11
46011,11
47011,11
48011,11
49011,11
50011,11
51011,11
53011,11
54011,11
55011,11
56011,11
72011,11
72011,11
4012,12
1013,13
2013,13
4013,13
5013,13
6013,13
8013,13
9013,13
12013,13
13013,13
16013,13
17013,13
18013,13
19013,13
20013,13
21013,13
22013,13
23013,13
24013,13
25013,13
26013,13
27013,13
28013,13
29013,13
30013,13
31013,13
32013,13
33013,13
34013,13
35013,13
36013,13
37013,13
38013,13
39013,13
40013,13
41013,13
42013,13
45013,13
46013,13
47013,13
48013,13
49013,13
50013,13
51013,13
53013,13
54013,13
55013,13
56013,13
72013,13
8014,14
1015,15
4015,15
5015,15
6015,15
8015,15
9015,15
12015,15
13015,15
16015,15
17015,15
18015,15
19015,15
20015,15
21015,15
22015,15
23015,15
24015,15
25015,15
26015,15
27015,15
28015,15
29015,15
30015,15
31015,15
32015,15
33015,15
34015,15
35015,15
36015,15
37015,15
38015,15
39015,15
40015,15
41015,15
42015,15
45015,15
46015,15
47015,15
48015,15
49015,15
50015,15
51015,15
53015,15
54015,15
55015,15
56015,15
72015,15
1017,17
4017,17
5017,17
6017,17
8017,17
12017,17
13017,17
16017,17
17017,17
18017,17
19017,17
20017,17
21017,17
22017,17
23017,17
24017,17
25017,17
26017,17
27017,17
28017,17
29017,17
30017,17
31017,17
32017,17
33017,17
34017,17
35017,17
36017,17
37017,17
38017,17
39017,17
40017,17
41017,17
42017,17
45017,17
46017,17
47017,17
48017,17
49017,17
50017,17
51017,17
53017,17
54017,17
55017,17
56017,17
72017,17
1019,19
4019,19
5019,19
6019,19
8019,19
12019,19
13019,19
16019,19
17019,19
18019,19
19019,19
20019,19
21019,19
22019,19
23019,19
24019,19
25019,19
26019,19
27019,19
28019,19
29019,19
30019,19
31019,19
32019,19
33019,19
34019,19
35019,19
36019,19
37019,19
38019,19
39019,19
40019,19
41019,19
42019,19
45019,19
46019,19
47019,19
48019,19
49019,19
50019,19
51019,19
53019,19
54019,19
55019,19
56019,19
72019,19
2020,20
60020,20
78020,20
1021,21
4021,21
5021,21
6021,21
8021,21
12021,21
13021,21
16021,21
17021,21
18021,21
19021,21
20021,21
21021,21
22021,21
23021,21
24021,21
25021,21
26021,21
27021,21
